boosting_iteration,training_mae,early_stopping_mae
0,0.3013323287114002,0.28113721869580066
1,0.29783280312602023,0.2772797237843128
2,0.29445874959264745,0.273511972327293
3,0.2912203627655661,0.27003641544010837
4,0.2880902690895755,0.26651641922239794
5,0.2851206360568059,0.2632315202703323
6,0.28228428362489155,0.2600849687943024
7,0.2795141113015169,0.25719957773027746
8,0.27684653503028245,0.2543474665196071
9,0.2742915766819358,0.25140367044603884
10,0.27182735264592733,0.24871880036269503
11,0.2694728906783277,0.24608615963843655
12,0.26715179223904323,0.24345080679885076
13,0.26496135809500937,0.24098856811685418
14,0.26281181611579935,0.2386429292197249
15,0.2607611569572572,0.2364648915980201
16,0.2588041694448206,0.23428642677605055
17,0.2569488913914541,0.2322201128675922
18,0.2551273212978362,0.23011936891475335
19,0.25334888429723396,0.22819800944371862
20,0.25164900929539147,0.2262201731923619
21,0.25003221883312976,0.2244108952153688
22,0.24837971256973745,0.2226460966784721
23,0.24685598731322825,0.22081593994191911
24,0.2453338228563732,0.2190968425445907
25,0.2438597732852522,0.21733209965460015
26,0.24248037437645734,0.21569993026089687
27,0.2411544240668088,0.21429914933107855
28,0.23984440976575516,0.21282595192955436
29,0.23853774727514945,0.21134378502607248
30,0.23729942949639155,0.20999791721808794
31,0.2361382393279333,0.20854744972119776
32,0.23497583912208872,0.20731485582741316
33,0.23388425329983986,0.206024529932339
34,0.23278305907039348,0.20463805861024825
35,0.2317108477626277,0.2034844881403818
36,0.23072850427906552,0.20241089342299648
37,0.2297366789567509,0.20130160127342825
38,0.22876941130408882,0.2003142225887926
39,0.2278339671210605,0.1992273492637673
40,0.2268974546965693,0.19825950466487893
41,0.22601698852316113,0.19726192828249461
42,0.2251669525425301,0.1964001699009748
43,0.22434109540305314,0.19554176157392403
44,0.22355614581158234,0.19457397935682624
45,0.22277214460316686,0.193516794084426
46,0.2220417554021451,0.19275445928751248
47,0.2212566485035735,0.19195683046637105
48,0.2205580415653592,0.19145881744906038
49,0.21989643312355614,0.19063291130725094
50,0.2191978131039615,0.1898809105634983
51,0.21854463336526075,0.1892099056778283
52,0.21792653567163647,0.18854384388841922
53,0.21730116976033015,0.18786953589366673
54,0.2166837158141136,0.18707751161579428
55,0.21606323799425273,0.1865649970740765
56,0.21549659940937346,0.1859753690262391
57,0.2149447323604106,0.18539057186634963
58,0.21440287779051986,0.1847845193928441
59,0.21390867362670973,0.18433403344259083
60,0.2133673278337474,0.18382083729508963
61,0.212856985667988,0.18327237606929442
62,0.2123413436696814,0.1827108010753671
63,0.2118654798717221,0.182272659446463
64,0.2114308547572544,0.18176415636034435
65,0.21100374452474524,0.18128385860625845
66,0.2105814323850535,0.1809003332382059
67,0.21011917466322255,0.1803618707496838
68,0.20969018604927012,0.18000374018552612
69,0.2092981029917454,0.17948747716373067
70,0.2089070053867662,0.17907287024132823
71,0.2085198649301422,0.1787008798584856
72,0.2081211061809554,0.17814048364978705
73,0.2077407521561568,0.17774392187607602
74,0.20735933046931937,0.17741301645523272
75,0.20702965476952379,0.17696933901741832
76,0.20665843970809902,0.17666111183650976
